NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
567,East Putney,524382,174870,District,London Underground,Yes,,,,"2,3",-0.209468663,51.45863492,No
568,Edgware,519550,191940,Northern,London Underground,Yes,,,,5,-0.273183711,51.61311251,Yes
569,Edgware Road (DIS),527220,181697,"Circle, District, Hammersmith & City",London Underground,Yes,,,,1,-0.166170742,51.51936413,No
570,Elephant & Castle LU,531909,179142,"Northern, Bakerloo",London Underground,Yes,,,,"1,2",-0.099577259,51.4953253,No
571,Elm Park,552542,185716,District,London Underground,Yes,,,,6,0.200311564,51.54920911,No
572,Epping,546209,201538,Central,London Underground,Yes,,,,6,0.115641374,51.69306818,No
573,Woolwich Arsenal,543731,178811,DLR,,,,,Yes,4,0.070492592,51.48946942,No
574,Euston LU,529498,182668,"Northern, Victoria",London Underground,Yes,,,,1,-0.132992071,51.52757668,Yes
575,Euston Square,529417,182393,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.134270582,51.52512499,No
576,Fairlop,544936,190595,Central,London Underground,Yes,,,,4,0.092688126,51.59505439,Yes
577,Farringdon,531560,181874,"Circle, Hammersmith & City, Metropolitan, TfL Rail",London Underground,Yes,Yes,,,1,-0.103582415,51.51996102,No
578,Finchley Central,525278,190668,Northern,London Underground,Yes,,,,4,-0.190951925,51.60043321,Yes
579,Finchley Road,526220,184716,"Metropolitan, Jubilee",London Underground,Yes,,,,2,-0.179489511,51.54672589,Yes
580,Finsbury Park,531330,186775,"Piccadilly, Victoria",London Underground,Yes,,,,2,-0.105068129,51.56406609,Yes
581,Fulham Broadway,525455,177302,District,London Underground,Yes,,,,2,-0.193168686,51.48025536,No
582,Gants Hill,543274,188430,Central,London Underground,Yes,,,,4,0.067825538,51.57602949,Yes
583,Gloucester Road,526183,178846,"District, Piccadilly, Circle",London Underground,Yes,,,,1,-0.182135121,51.49397763,Yes
584,Golders Green,525255,187480,Northern,London Underground,Yes,,,,3,-0.192420671,51.57178437,Yes
585,Goldhawk Road,523184,179608,"Circle, Hammersmith & City",London Underground,Yes,,,,2,-0.225049873,51.50148234,No
586,Goodge Street,529537,181837,Northern,London Underground,Yes,,,,1,-0.132736642,51.52009307,Yes
587,Grange Hill,544967,192559,Central,London Underground,Yes,,,,4,0.093957755,51.61269646,No
588,Great Portland Street,528838,182180,"Circle, Hammersmith & City, Metropolitan",London Underground,Yes,,,,1,-0.142685711,51.52333822,No
